Game_ID,Player,Team,POTM,Team_Won,Team_Home,Team_Batted_First,Team_Total_Runs,Team_Total_Extras,Batter,Bowler,All_Rounder,Runs_Scored,Balls_Faced,Dot_Balls,Fours_Hit,Sixes_Hit,Batted_Inns1,Batted_Inns2,NonStriker_Runs,Overs_Bowled,Legal_Deliveries,Runs_Conceded,Wickets_Total,Wkts_Bowled,Bowled_Catch,LegByes_Thrown,NoBalls_Thrown,Catches_Fielder,RunOuts,Stumpings,Total_Returns,Run_Share,Wicket_Impact,Strike_Rate,Economy_Rate
BBL_S1_M02,Scott Coyte,Thunder,0,1,0,0,154,3,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,25.0,26.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,4.0,0.0,6.239999999999999
BBL_S1_M02,Sean Abbott,Thunder,0,1,0,0,154,3,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,35.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,1.0,0.0,11.666666666666666
BBL_S1_M03,Daniel Harris,Strikers,0,1,1,1,189,3,1,0,0,49.0,34.0,12.0,5.0,2.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,25.925925925925924,0.0,144.11764705882354,0.0
BBL_S1_M03,Michael Klinger,Strikers,1,1,1,1,189,3,1,0,0,46.0,35.0,14.0,4.0,1.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,24.33862433862434,0.0,131.42857142857142,0.0
BBL_S1_M03,Callum Ferguson,Strikers,0,1,1,1,189,3,1,0,0,18.0,19.0,6.0,0.0,0.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.523809523809524,0.0,94.73684210526315,0.0
BBL_S1_M03,Aiden Blizzard,Strikers,0,1,1,1,189,3,1,0,0,30.0,18.0,6.0,2.0,2.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,15.873015873015872,0.0,166.66666666666669,0.0
BBL_S1_M03,Adam Crosthwaite,Strikers,0,1,1,1,189,3,1,0,0,15.0,6.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,20.0,7.936507936507936,0.0,250.0,0.0
BBL_S1_M03,Cameron Borgas,Strikers,0,1,1,1,189,3,1,0,0,28.0,10.0,0.0,2.0,2.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.814814814814813,0.0,280.0,0.0
BBL_S1_M03,Aaron O'Brien,Strikers,0,1,1,1,189,3,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,26.0,34.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,7.846153846153847
BBL_S1_M03,Alfonso Thomas,Strikers,0,1,1,1,189,3,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.736842105263158
BBL_S1_M03,Johan Botha,Strikers,0,1,1,1,189,3,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,23.0,18.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,13.0,0.0,4.0,0.0,4.695652173913043
