scenario,model_tag,model_kind,link,feature,coef
raw,M2-Binomialcloglog,M2,,num__Economy_Rate,0.2300714852721366
raw,M2-Binomialcloglog,M2,,num__LegByes_Thrown,0.1771910729636091
raw,M2-Binomialcloglog,M2,,num__Stumpings,0.1596760318931882
raw,M2-Binomialcloglog,M2,,num__Runs_Scored,0.1361927585522451
raw,M2-Binomialcloglog,M2,,num__NoBalls_Thrown,-0.1359601820549894
raw,M2-Binomialcloglog,M2,,num__Runs_Conceded,-0.1284366782236271
raw,M2-Binomialcloglog,M2,,num__Sixes_Hit,-0.0989003439552939
raw,M2-Binomialcloglog,M2,,num__Balls_Faced,-0.0887964334624374
raw,M2-Binomialcloglog,M2,,num__Fours_Hit,-0.0757308671731724
raw,M2-Binomialcloglog,M2,,num__Run_Share,0.0432636276249922
raw,M2-Binomialcloglog,M2,,num__Catches_Fielder,0.0378015829307024
raw,M2-Binomialcloglog,M2,,num__Team_Total_Extras,0.0359845003393982
raw,M2-Binomialcloglog,M2,,num__RunOuts,0.0299464823397485
raw,M2-Binomialcloglog,M2,,num__Wicket_Impact,0.0258725241963909
raw,M2-Binomialcloglog,M2,,num__Team_Home,0.0169375272326965
raw,M2-Binomialcloglog,M2,,num__Total_Returns,0.0161201417217048
raw,M2-Binomialcloglog,M2,,num__Team_Total_Runs,-0.0139544518424535
raw,M2-Binomialcloglog,M2,,num__NonStriker_Runs,0.0071707214791149
raw,M2-Binomialcloglog,M2,,num__Strike_Rate,-0.0041604458022027
raw,M2-Binomialcloglog,M2,,num__Dot_Balls,-0.0010700738011848
raw,M2-Binomialloglog,M2,,num__Overs_Bowled,2.1397801093719258
raw,M2-Binomialloglog,M2,,num__Team_Won,2.010974783410509
raw,M2-Binomialloglog,M2,,num__Batter,0.81395471665733
raw,M2-Binomialloglog,M2,,num__Batted_Inns2,0.5175481515831832
raw,M2-Binomialloglog,M2,,num__Bowler,0.4507203186789663
raw,M2-Binomialloglog,M2,,num__Batted_Inns1,0.38478697181269
raw,M2-Binomialloglog,M2,,num__Legal_Deliveries,-0.2544544278131089
raw,M2-Binomialloglog,M2,,num__RunOuts,0.2232908074633936
raw,M2-Binomialloglog,M2,,num__Wickets_Total,0.1956044275604664
raw,M2-Binomialloglog,M2,,num__Wkts_Bowled,0.1611166787437565
raw,M2-Binomialloglog,M2,,num__Team_Batted_First,0.1497305637598623
raw,M2-Binomialloglog,M2,,num__Economy_Rate,0.1301760836874941
raw,M2-Binomialloglog,M2,,num__Catches_Fielder,0.1087039865813145
raw,M2-Binomialloglog,M2,,num__Wicket_Impact,0.0945667583382247
raw,M2-Binomialloglog,M2,,num__All_Rounder,0.0883804067385359
raw,M2-Binomialloglog,M2,,num__Runs_Conceded,-0.0843246952103297
raw,M2-Binomialloglog,M2,,num__Runs_Scored,0.080598859215406
raw,M2-Binomialloglog,M2,,num__NoBalls_Thrown,-0.0802346478239408
raw,M2-Binomialloglog,M2,,num__LegByes_Thrown,0.0671330866785212
raw,M2-Binomialloglog,M2,,num__Balls_Faced,-0.0645174664914343
raw,M2-Binomialloglog,M2,,num__Run_Share,0.0386227817232539
raw,M2-Binomialloglog,M2,,num__Team_Home,-0.0357744695002032
raw,M2-Binomialloglog,M2,,num__Fours_Hit,-0.0349056781589134
raw,M2-Binomialloglog,M2,,num__Bowled_Catch,0.03448774881671
raw,M2-Binomialloglog,M2,,num__Stumpings,0.0331159692116913
raw,M2-Binomialloglog,M2,,num__Team_Total_Extras,0.0166100906846046
raw,M2-Binomialloglog,M2,,num__Total_Returns,0.0075588349881342
raw,M2-Binomialloglog,M2,,num__Dot_Balls,0.006259243892014
raw,M2-Binomialloglog,M2,,num__Team_Total_Runs,-0.005728779511307
raw,M2-Binomialloglog,M2,,num__Strike_Rate,-0.0036856271734076
raw,M2-Binomialloglog,M2,,num__NonStriker_Runs,-0.002018801597842
raw,M2-Binomialloglog,M2,,num__Sixes_Hit,-0.0008150009072102
raw,M2-Binomialprobit,M2,,num__Bowler,2.883797804669164
raw,M2-Binomialprobit,M2,,num__Overs_Bowled,2.4841389060929373
raw,M2-Binomialprobit,M2,,num__Team_Won,2.1981410422624483
raw,M2-Binomialprobit,M2,,num__Batter,2.120323347898674
raw,M2-Binomialprobit,M2,,num__Batted_Inns2,1.7295583477798369
raw,M2-Binomialprobit,M2,,num__Batted_Inns1,1.6009092214972456
raw,M2-Binomialprobit,M2,,num__All_Rounder,1.2101442213783975
raw,M2-Binomialprobit,M2,,num__Wickets_Total,0.3120650080545968
raw,M2-Binomialprobit,M2,,num__Legal_Deliveries,-0.3026251390391712
raw,M2-Binomialprobit,M2,,num__Wkts_Bowled,0.2181968798698962
raw,M2-Binomialprobit,M2,,num__Team_Batted_First,0.1767595260302769
raw,M2-Binomialprobit,M2,,num__RunOuts,0.1462715339025257
raw,M2-Binomialprobit,M2,,num__Economy_Rate,0.1435092551979189
raw,M2-Binomialprobit,M2,,num__NoBalls_Thrown,-0.1106593523579571
raw,M2-Binomialprobit,M2,,num__Catches_Fielder,0.0943924991976658
raw,M2-Binomialprobit,M2,,num__Bowled_Catch,0.0938681281847067
raw,M2-Binomialprobit,M2,,num__Runs_Scored,0.0913129505043253
raw,M2-Binomialprobit,M2,,num__Runs_Conceded,-0.0907350538790685
raw,M2-Binomialprobit,M2,,num__LegByes_Thrown,0.089600994652851
raw,M2-Binomialprobit,M2,,num__Stumpings,0.0748997617099126
raw,M2-Binomialprobit,M2,,num__Wicket_Impact,0.0708913495700424
raw,M2-Binomialprobit,M2,,num__Balls_Faced,-0.0663587359010916
raw,M2-Binomialprobit,M2,,num__Fours_Hit,-0.0396857425000894
raw,M2-Binomialprobit,M2,,num__Run_Share,0.035406669649372
raw,M2-Binomialprobit,M2,,num__Team_Home,-0.028330793996795
raw,M2-Binomialprobit,M2,,num__Sixes_Hit,-0.0245963164739776
raw,M2-Binomialprobit,M2,,num__Team_Total_Extras,0.0214292264433272
raw,M2-Binomialprobit,M2,,num__Total_Returns,0.0083437526094691
raw,M2-Binomialprobit,M2,,num__Team_Total_Runs,-0.0076349856560983
raw,M2-Binomialprobit,M2,,num__Dot_Balls,0.0054750725383487
raw,M2-Binomialprobit,M2,,num__Strike_Rate,-0.0034391861636225
raw,M2-Binomialprobit,M2,,num__NonStriker_Runs,-0.000342014236884
raw,M2-CondGLMlogit,M2,,num__Team_Won,3.7271428245602674
raw,M2-CondGLMlogit,M2,,num__Overs_Bowled,1.4777615443018497
raw,M2-CondGLMlogit,M2,,num__Batter,0.7512460628659532
raw,M2-CondGLMlogit,M2,,num__Wickets_Total,0.6417248122247037
raw,M2-CondGLMlogit,M2,,num__All_Rounder,-0.4362617365886351
raw,M2-CondGLMlogit,M2,,num__Wkts_Bowled,0.4289693864274627
raw,M2-CondGLMlogit,M2,,num__NoBalls_Thrown,-0.4219751096287479
raw,M2-CondGLMlogit,M2,,num__Batted_Inns2,0.2281882039046761
