scenario,raw,raw,raw,raw,raw,raw,raw,raw,scaled,scaled,scaled,scaled,scaled,scaled,scaled,scaled,zscore,zscore,zscore,zscore,zscore,zscore,zscore,zscore
model_tag,M1-EN,M1-L1,M1-L2,M2-Binomialcauchit,M2-Binomialcloglog,M2-Binomialloglog,M2-Binomialprobit,M2-CondGLMlogit,M1-EN,M1-L1,M1-L2,M2-Binomialcauchit,M2-Binomialcloglog,M2-Binomialloglog,M2-Binomialprobit,M2-CondGLMlogit,M1-EN,M1-L1,M1-L2,M2-Binomialcauchit,M2-Binomialcloglog,M2-Binomialloglog,M2-Binomialprobit,M2-CondGLMlogit
feature,,,,,,,,,,,,,,,,,,,,,,,,
num__Run_Share,-0.0410995433953278,-0.0414062066013258,0.0629291587808524,0.1879658899808265,0.0432636276249922,0.0386227817232539,0.035406669649372,0.0629291587808524,0.7834839925820516,0.7784837019589447,0.789872415564068,-1.7993541558392186e+29,0.5298367552616143,0.4755432454432494,0.435818152968857,0.789872415564068,1.9431361073971896,2.138458959253718,1.8128994369737468,10.05660540081436,-267033193844220.3,0.9245353263153137,0.9905681024305604,1.8128994369737468
num__Runs_Conceded,-0.0423380969764373,-0.0427913318242529,-0.1521903735117463,-0.349452277278225,-0.1284366782236271,-0.0843246952103297,-0.0907350538790685,-0.1521903735117463,-1.701346693121326,-1.7657414146577657,-1.6901288936427394,-8.722357783776134e+29,-1.7124561777940226,-1.1277703837264643,-1.2117934278928897,-1.6901288936427394,-1.30242956839739,-1.25913739062438,-1.346630514979271,-2.957704119107801,-617748252383848.1,-0.9831688161226322,-1.0373438214573183,-1.346630514979271
num__Runs_Scored,0.2066677448610337,0.2075470538361941,0.1609102483454552,0.4787318330848611,0.1361927585522451,0.080598859215406,0.0913129505043253,0.1609102483454552,2.034792690779888,2.365862225460363,1.85826591920912,9.395995521089143e+29,2.4483472574891203,1.4404358429932125,1.6411412357540365,1.85826591920912,0.5807448836523437,0.3501071479459806,0.7183150343671346,-3.197037772664198,1203405791759419.8,0.6525554115439702,0.5235776141619751,0.7183150343671346
num__Sixes_Hit,0.0309822460645043,0.024251166776307,-0.0331527164922222,-0.2255332566244759,-0.0989003439552939,-0.0008150009072102,-0.0245963164739776,-0.0331527164922222,0.1532035153920931,0.0738628325397161,0.1995238362937826,1.2739198781515167e+28,-0.0867600098245027,0.0001047551437618,-0.0216688769582755,0.1995238362937826,0.4762336103182418,0.4798363278500567,0.4765868922644669,1.3550281114409417,286920964600593.0,0.2265923088789754,0.2475862608096607,0.4765868922644669
num__Strike_Rate,-0.006204812718781,-0.0061445165168562,-0.0048992751617636,0.0112584197589408,-0.0041604458022027,-0.0036856271734076,-0.0034391861636225,-0.0048992751617636,-0.252392315534417,-0.2495824113156992,-0.2640867892692959,-1.51692769582024e+29,-0.2747177986873183,-0.2369521177274486,-0.2260503713714319,-0.2640867892692959,-0.6716089403687537,-0.6551413392406548,-0.6760593822298161,-0.3749336172041476,-252791632026044.9,-0.5365422195470568,-0.4648593138613272,-0.6760593822298161
num__Stumpings,0.0506368566780604,0.0396074585304159,0.1737064457535186,1.1820845816720296,0.1596760318931882,0.0331159692116913,0.0748997617099126,0.1737064457535186,0.0310225453447311,0.0302419360841265,0.0319711532935257,6.892001781232572e+27,0.0305719298985405,0.0065385140664417,0.0143413849082457,0.0319711532935257,-0.0215431738951947,-0.0098153574681003,-0.03232937495384,-0.2078804922609197,-116233979356188.78,-0.0197990903777395,-0.0228754055529492,-0.03232937495384
num__Team_Batted_First,0.098725766565632,0.0905073311684705,0.2201075162064618,-0.0676478939424086,0.2988060046417942,0.1497305637598623,0.1767595260302769,0.2201075162064618,0.0891117989548789,0.0665178697508617,0.1086783373853269,-2.8929809713405463e+28,0.1500957105144391,0.074276389883563,0.0883793455874982,0.1086783373853269,-0.1503081939561457,-0.1399280608433273,-0.1488967824791373,-0.9176840717504468,-492160280290202.4,-0.0384077087424454,-0.0600688987291755,-0.1488967824791373
num__Team_Home,-0.1948153743213401,-0.1900572633979905,-0.0446025763704448,-0.3715903911262307,0.0169375272326965,-0.0357744695002032,-0.028330793996795,-0.0446025763704448,-0.0247504377505736,-0.021349972585315,-0.0281317008736186,-1.651174320289468e+28,0.0091454657713177,-0.0177639811781269,-0.0141652150108983,-0.0281317008736186,-0.0304011554974799,-0.029399376654822,-0.0314559389629801,-0.2537247533629995,31464448140286.63,-0.0190877480734813,-0.0167683206712341,-0.0314559389629801
num__Team_Total_Extras,0.0152568567888956,0.0149831075986079,0.0404994408262839,0.0369011472378437,0.0359845003393982,0.0166100906846046,0.0214292264433272,0.0404994408262839,0.1434691682359257,0.1466313131893241,0.1441655769061709,2.96619665841761e+28,0.1474881151049598,0.0680353135975502,0.0882152685698893,0.1441655769061709,0.1531680588983618,0.1540437827790592,0.1527130522546463,0.4576808743707596,7219548092989.341,0.0741523728256675,0.0861437296971227,0.1527130522546463
num__Team_Total_Runs,-0.0412218021534869,-0.0412837212453744,-0.0137857412677611,-0.0275059008992589,-0.0139544518424535,-0.005728779511307,-0.0076349856560983,-0.0137857412677611,-0.4227899367962974,-0.4135476773002828,-0.4318323276363842,-1.632678128917649e+29,-0.4364729907873894,-0.177560479969739,-0.2384707900902108,-0.4318323276363842,-0.0097245596886951,0.0,-0.0266237596100916,-0.1505557057358642,42037163466994.64,-0.1457394622916946,-0.0289448056272211,-0.0266237596100916
num__Team_Won,1.589547861130161,1.5902507142012203,3.7271428245602674,16.504477875655073,3.3255036403929044,2.010974783410509,2.1981410422624483,3.7271428245602674,1.9825223728674493,1.996001302638248,1.971850043773869,7.010358622923283e+29,1.6622084142429416,1.0044964401474483,1.0989952788270565,1.971850043773869,1.935205017128635,1.9571058271163824,1.9317446002537295,10.4867354958081,582844965551861.8,1.035571086411264,1.0692556591280935,1.9317446002537295
num__Total_Returns,-0.0022740398194717,-0.0020004905429626,0.0150078145781357,0.0009154442522609,0.0161201417217048,0.0075588349881342,0.0083437526094691,0.0150078145781357,0.077776282370152,0.0739258950208958,0.0823203293908197,3.5468011632349577e+28,0.0869979392085155,0.0393882754439027,0.0449502107606323,0.0823203293908197,0.0508701619550567,0.0443884222776195,0.0558543355151029,0.2674208024489237,59347221207540.34,0.0425310216086994,0.030279495250718,0.0558543355151029
num__Wicket_Impact,0.2157586578886097,0.2183692265765074,0.1051484638866555,0.1338368374696971,0.0258725241963909,0.0945667583382247,0.0708913495700424,0.1051484638866555,0.2392078741701346,0.2456097845048076,0.2287908411878101,4.485984781536997e+29,0.0626945389178453,0.2320946462456616,0.1735396994954926,0.2287908411878101,1.0384812446723355,1.0419165671173864,1.0031058874674446,3.414507857573148,608167936567198.4,0.4147165265134603,0.5378294729058952,1.0031058874674446
num__Wickets_Total,0.2961741309233018,0.2922439430766088,0.6417248122247037,2.3851888839909465,0.6556988473562282,0.1956044275604664,0.3120650080545968,0.6417248122247037,0.5577077897451309,0.7513615506561825,0.397392747083915,-7.425169931412977e+28,0.3889971569654453,0.11005804334079,0.1814042783656724,0.397392747083915,0.0014648596028862,0.0,0.0662836129497906,0.1335200687220203,-181021395171584.53,0.0536665035738255,-0.0053182822072045,0.0662836129497906
num__Wkts_Bowled,0.199319746022484,0.1909063895807662,0.4289693864274627,1.5315019310456757,0.3927696708703281,0.1611166787437565,0.2181968798698962,0.4289693864274627,0.2205944114681056,0.1057522981227963,0.3182739263109255,6.494831100987347e+27,0.2844799290207759,0.1083728854035675,0.1525083672645387,0.3182739263109255,0.0816876466398346,0.0805530353202107,0.0725884849316398,-0.0947348265281779,71300731150599.23,0.0376292094394368,0.045898355825732,0.0725884849316398
